id_solicitud,fecha_solicitud,tipo_producto,id_cliente,monto_o_limite,moneda,pais,flag_prioritario,flag_digital
SYNTH-0889,10-09-2025,PRESTAMO  ,CLI-988,32397092, ARS,colombia  ,N,S
SYNTH-0216,10/09/2025,SERVICIO,CLI-315,182014,ARS,Brasil,S,N
SYNTH-0897,2025-06-10,  CUENTA ,CLI-996,136464,usd ,colombia  ,S,S
SYNTH-0212,28/06/2025,TARJETA,CLI-311,24726,ARS,Peru,S,N
SYNTH-0988,2025-03-20,tarjeta,CLI-1087,132830851,ars,  Argentina,S,N
SYNTH-0243,05/04/2025,PRESTAMO,CLI-342,705074397,EUR,Argentina,N,S
SYNTH-0764,2025-09-05,seguro,CLI-863,760365553, ARS,,N,N
SYNTH-0296,30/12/2025,CUENTA,CLI-395,365885733,ARS,Uruguay,S,N
SYNTH-0832,32/13/2025, Servicio,CLI-931,156402,Eur,  Argentina,S,S
SYNTH-0609,10/09/2025,TARJETA,CLI-708,133052,ARS,Brasil,N,S
SYNTH-0357,05/04/2025,PRESTAMO,CLI-456,291865,ARS,Mexico,S,S
SYNTH-0056,05/04/2025,SEGURO,CLI-155,221527,ARS,Paraguay,N,S
SYNTH-0331,10/09/2025,TARJETA,CLI-430,132738,ARS,Colombia,S,S
SYNTH-0376,28/06/2025,SERVICIO,CLI-475,19094,ARS,Brasil,N,S
SYNTH-0944,2025-01-15,  CUENTA ,CLI-1043,80916,usd ,MEXICO,S,S
SYNTH-0597,30/12/2025,SERVICIO,CLI-696,25542,ARS,Brasil,S,N
SYNTH-0713,2025-03-20,seguro,CLI-812,156492, ARS,  uruguay,S,N
SYNTH-0413,05/04/2025,SEGURO,CLI-512,880600566,USD,Paraguay,N,S
SYNTH-0002,22/11/2025,SEGURO,CLI-101,41076,EUR,Argentina,S,S
SYNTH-0438,18/07/2025,CUENTA,CLI-537,10068,EUR,Argentina,S,N
SYNTH-0022,30/12/2025,TARJETA,CLI-121,65597,EUR,Chile,N,N
SYNTH-0514,28/06/2025,TARJETA,CLI-613,36908,EUR,Brasil,S,N
SYNTH-0164,10/09/2025,SERVICIO,CLI-263,862007837,USD,Brasil,S,S
SYNTH-0299,15/03/2025,TARJETA,CLI-398,31550,USD,Brasil,N,S
SYNTH-0303,15/03/2025,PRESTAMO,CLI-402,236293,ARS,Uruguay,S,S
SYNTH-0598,01/01/2025,SERVICIO,CLI-697,210985,ARS,Argentina,N,S
SYNTH-0585,10/09/2025,SEGURO,CLI-684,8685,EUR,Uruguay,S,N
SYNTH-0556,15/03/2025,PRESTAMO,CLI-655,36995,ARS,Argentina,N,N
SYNTH-0150,28/06/2025,TARJETA,CLI-249,11416,USD,Peru,S,S
SYNTH-0308,18/07/2025,SERVICIO,CLI-407,25065570,EUR,Uruguay,N,S
SYNTH-0327,18/07/2025,SEGURO,CLI-426,26067,USD,Colombia,N,N
SYNTH-0127,01/01/2025,CUENTA,CLI-226,40953,USD,Paraguay,S,S
SYNTH-0912,10-09-2025,  CUENTA ,CLI-1011,17610194, USD ,  uruguay,N,S
SYNTH-0717,2025-06-10,  CUENTA ,CLI-816,508697590,usd , CHILE ,S,N
SYNTH-0753,20-06-2025, Servicio,CLI-852,50573, ARS,brasil,N,S
SYNTH-0405,30/12/2025,CUENTA,CLI-504,8229,USD,Paraguay,S,S
SYNTH-0132,30/12/2025,SERVICIO,CLI-231,409695,USD,Uruguay,S,S
SYNTH-0544,28/06/2025,TARJETA,CLI-643,199563,ARS,Brasil,S,S
SYNTH-0167,01/01/2025,SEGURO,CLI-266,592984979,ARS,Paraguay,S,N
SYNTH-0041,30/12/2025,SEGURO,CLI-140,668954082,EUR,Colombia,S,N
SYNTH-0190,22/11/2025,CUENTA,CLI-289,451554,ARS,Colombia,N,N
SYNTH-0383,01/01/2025,CUENTA,CLI-482,19743,ARS,Argentina,S,N
SYNTH-0601,15/03/2025,SEGURO,CLI-700,94456169,EUR,Uruguay,S,S
SYNTH-0986,2025-06-10,PRESTAMO  ,CLI-1085,4096818, USD ,brasil,S,S
SYNTH-0733,2025-01-15, Servicio,CLI-832,1000000000, ARS,brasil,N,S
SYNTH-0449,01/01/2025,CUENTA,CLI-548,854510480,ARS,Brasil,N,N
SYNTH-0356,10/09/2025,TARJETA,CLI-455,470271610,EUR,Uruguay,S,N
SYNTH-0372,28/06/2025,TARJETA,CLI-471,265288,EUR,Colombia,S,S
SYNTH-0028,01/01/2025,TARJETA,CLI-127,294002,ARS,Brasil,S,N
SYNTH-0444,05/04/2025,SERVICIO,CLI-543,803072002,USD,Uruguay,S,S
SYNTH-0802,2025-06-10,tarjeta,CLI-901,23653,Eur,colombia  ,N,S
SYNTH-0112,28/06/2025,PRESTAMO,CLI-211,272563,EUR,Colombia,N,N
SYNTH-0337,22/11/2025,CUENTA,CLI-436,42677,ARS,Argentina,S,S
SYNTH-0475,05/04/2025,CUENTA,CLI-574,156916286,ARS,Paraguay,S,N
SYNTH-0297,18/07/2025,SEGURO,CLI-396,278831,EUR,Paraguay,N,S
SYNTH-0946,2025-09-05, Servicio,CLI-1045,75986,ars,,N,S
SYNTH-0503,28/06/2025,CUENTA,CLI-602,571919710,ARS,Paraguay,S,S
SYNTH-0078,30/12/2025,CUENTA,CLI-177,12414,ARS,Peru,N,N
SYNTH-0466,30/12/2025,PRESTAMO,CLI-565,437011,EUR,Argentina,S,S
SYNTH-0629,15/03/2025,SERVICIO,CLI-728,45343,ARS,Peru,N,N
SYNTH-0436,22/11/2025,SEGURO,CLI-535,5231,ARS,Brasil,S,N
SYNTH-0033,10/09/2025,CUENTA,CLI-132,310448,EUR,Paraguay,N,N
SYNTH-0059,15/03/2025,SEGURO,CLI-158,506975876,EUR,Colombia,N,S
SYNTH-0979,32/13/2025,tarjeta,CLI-1078,40893,Eur,MEXICO,N,S
SYNTH-0437,05/04/2025,TARJETA,CLI-536,43041,EUR,Peru,S,S
SYNTH-0114,05/04/2025,SEGURO,CLI-213,300604,ARS,Argentina,S,S
SYNTH-0479,15/03/2025,SEGURO,CLI-578,14263,EUR,Paraguay,S,S
SYNTH-0593,05/04/2025,TARJETA,CLI-692,538722493,EUR,Mexico,S,S
SYNTH-0773,2025-06-10,tarjeta,CLI-872,2824,ars,  Argentina,S,S
SYNTH-0765,2025-09-05,seguro,CLI-864,13622, ARS,colombia  ,N,N
SYNTH-0434,22/11/2025,SERVICIO,CLI-533,22502,ARS,Paraguay,N,N
SYNTH-0360,22/11/2025,CUENTA,CLI-459,40270,ARS,Brasil,S,N
SYNTH-0433,18/07/2025,SERVICIO,CLI-532,29078,USD,Chile,N,S
SYNTH-0488,01/01/2025,CUENTA,CLI-587,193970,EUR,Argentina,S,S
SYNTH-0839,2025-01-15,seguro,CLI-938,30000,Eur,colombia  ,S,S
SYNTH-0463,30/12/2025,CUENTA,CLI-562,904077147,EUR,Peru,N,N
SYNTH-0379,18/07/2025,SEGURO,CLI-478,16683,EUR,Peru,N,N
SYNTH-0926,15-03-2025, Servicio,CLI-1025,-500, USD , CHILE ,S,S
SYNTH-0776,2025-09-05, Servicio,CLI-875,213002,Eur,MEXICO,S,N
SYNTH-0705,2025-01-15,seguro,CLI-804,442005,Eur,  Argentina,N,N
SYNTH-0904,2025-03-20,seguro,CLI-1003,3424,Eur,MEXICO,S,N
SYNTH-0933,15-03-2025,seguro,CLI-1032,775919145, USD , CHILE ,S,N
SYNTH-0936,2025-03-20,tarjeta,CLI-1035,654918659,Eur,  uruguay,N,S
SYNTH-0704,20-06-2025,PRESTAMO  ,CLI-803,442075495,usd ,MEXICO,N,N
SYNTH-0073,01/01/2025,TARJETA,CLI-172,337132,USD,Mexico,S,S
SYNTH-0047,15/03/2025,TARJETA,CLI-146,45695,ARS,Mexico,S,N
SYNTH-0294,05/04/2025,SERVICIO,CLI-393,455079,USD,Uruguay,S,S
SYNTH-0108,30/12/2025,PRESTAMO,CLI-207,901224022,EUR,Peru,S,S
SYNTH-0029,30/12/2025,TARJETA,CLI-128,40867,ARS,Brasil,S,S
SYNTH-0126,30/12/2025,SERVICIO,CLI-225,34521,ARS,Paraguay,S,S
SYNTH-0053,28/06/2025,CUENTA,CLI-152,206769,USD,Uruguay,S,S
SYNTH-0568,01/01/2025,CUENTA,CLI-667,580979323,EUR,Chile,N,S
SYNTH-0838,2025-01-15,PRESTAMO  ,CLI-937,1000000000, ARS,brasil,S,N
SYNTH-0346,22/11/2025,CUENTA,CLI-445,665769064,EUR,Mexico,S,N
SYNTH-0742,2025-01-15,seguro,CLI-841,10232, USD ,  Argentina,N,N
SYNTH-0446,28/06/2025,PRESTAMO,CLI-545,11144,EUR,Mexico,N,N
SYNTH-0014,30/12/2025,SEGURO,CLI-113,11577,ARS,Chile,N,N
SYNTH-0508,05/04/2025,SERVICIO,CLI-607,769764846,EUR,Paraguay,N,N
SYNTH-0500,18/07/2025,SERVICIO,CLI-599,28947,EUR,Uruguay,S,S
SYNTH-0604,18/07/2025,TARJETA,CLI-703,7371,USD,Colombia,S,N
SYNTH-0070,15/03/2025,CUENTA,CLI-169,17988,EUR,Colombia,N,N
SYNTH-0924,2025-03-20,  CUENTA ,CLI-1023,2128,GBP,MEXICO,S,S
SYNTH-0395,15/03/2025,SEGURO,CLI-494,40211,ARS,Paraguay,S,N
SYNTH-0788,2025-01-15, Servicio,CLI-887,381698,GBP,MEXICO,S,N
SYNTH-0370,28/06/2025,PRESTAMO,CLI-469,34702,USD,Uruguay,N,S
SYNTH-0106,22/11/2025,SEGURO,CLI-205,401665579,EUR,Mexico,S,S
SYNTH-0332,22/11/2025,SERVICIO,CLI-431,23858,USD,Brasil,S,S
SYNTH-0058,28/06/2025,SERVICIO,CLI-157,370245,USD,Uruguay,N,S
SYNTH-0881,2025-01-15,PRESTAMO  ,CLI-980,46574, ARS,colombia  ,N,N
SYNTH-0411,15/03/2025,TARJETA,CLI-510,650175446,ARS,Uruguay,N,N
SYNTH-0134,05/04/2025,TARJETA,CLI-233,37957,EUR,Mexico,S,N
SYNTH-0867,2025-09-05, Servicio,CLI-966,269778159,Eur,colombia  ,S,S
SYNTH-0004,15/03/2025,PRESTAMO,CLI-103,265734,EUR,Colombia,N,S
SYNTH-0435,15/03/2025,CUENTA,CLI-534,186747,USD,Paraguay,S,S
SYNTH-0757,32/13/2025,PRESTAMO  ,CLI-856,449435,Eur,brasil,N,S
SYNTH-0547,10/09/2025,CUENTA,CLI-646,230011,USD,Uruguay,N,S
SYNTH-0467,01/01/2025,SEGURO,CLI-566,44661,EUR,Argentina,S,S
SYNTH-0171,15/03/2025,TARJETA,CLI-270,636982582,ARS,Uruguay,S,S
SYNTH-0250,28/06/2025,TARJETA,CLI-349,14861,USD,Peru,N,S
SYNTH-0849,15-03-2025,tarjeta,CLI-948,185029,GBP, CHILE ,N,N
SYNTH-0687,28/06/2025,CUENTA,CLI-786,17795,ARS,Brasil,S,S
SYNTH-0350,22/11/2025,TARJETA,CLI-449,468916740,USD,Paraguay,N,S
SYNTH-0038,01/01/2025,SERVICIO,CLI-137,599649543,EUR,Brasil,N,S
SYNTH-0369,22/11/2025,SEGURO,CLI-468,272475658,EUR,Peru,N,S
SYNTH-0580,01/01/2025,SERVICIO,CLI-679,12862,ARS,Peru,S,S
SYNTH-0963,2025-06-10,tarjeta,CLI-1062,43803,ars,  Argentina,S,S
SYNTH-0077,10/09/2025,SERVICIO,CLI-176,39278,EUR,Argentina,S,S
SYNTH-0721,2025-09-05,seguro,CLI-820,191886,GBP,  Argentina,S,S
SYNTH-0550,05/04/2025,SEGURO,CLI-649,19824,ARS,Colombia,S,N
SYNTH-0389,01/01/2025,PRESTAMO,CLI-488,979283137,ARS,Paraguay,N,N
