id_solicitud,fecha_solicitud,tipo_producto,id_cliente,monto_o_limite,moneda,pais,flag_prioritario,flag_digital
SYNTH-0031,2025-06-10,tarjeta,CLI-130,36023950, USD ,brasil,N,S
SYNTH-0012,28/06/2025,CUENTA,CLI-111,12470605,ARS,Uruguay,S,N
SYNTH-0006,28/06/2025,TARJETA,CLI-105,134312,EUR,Chile,S,S
SYNTH-0023,10/09/2025,CUENTA,CLI-122,26864,USD,Peru,N,S
SYNTH-0018,05/04/2025,TARJETA,CLI-117,52261,EUR,Mexico,S,S
SYNTH-0045,01/01/2025,SEGURO,CLI-144,211211110,USD,bra,S,N
SYNTH-0042,15 de marzo del 2025,TARJETA,CLI-141,9822,ARS,Mexico,S,S
SYNTH-0026,2025-06-10,  CUENTA ,CLI-125,494283879, ARS,  Argentina,N,N
SYNTH-0027,20-06-2025,  CUENTA ,CLI-126,406846,GBP,MEXICO,N,N
SYNTH-0010,28/06/2025,SEGURO,CLI-109,27758,ARS,Mexico,S,S
SYNTH-0022,15/03/2025,SERVICIO,CLI-121,5952,USD,Mexico,N,N
SYNTH-0030,2025-03-20,seguro,CLI-129,13991,Eur,  uruguay,S,S
SYNTH-0004,15/03/2025,PRESTAMO,CLI-103,261091,EUR,Argentina,N,S
SYNTH-0038,2025-06-10,seguro,CLI-137,27625,Eur,brasil,S,N
SYNTH-0014,05/04/2025,PRESTAMO,CLI-113,334883348,ARS,Mexico,S,N
SYNTH-0044,marzo 2025,CUENTA,CLI-143,278987,ARS,Argentina,N,S
SYNTH-0036,2025-01-15, Servicio,CLI-135,99999999999,Eur,  uruguay,N,S
SYNTH-0041,marzo 2025,SERVICIO,CLI-140,250274750,EUR,Peru,S,S
SYNTH-0001,18/07/2025,PRESTAMO,CLI-100,14112,ARS,Chile,S,N
SYNTH-0037,2025-09-05,seguro,CLI-136,10879,Eur,  uruguay,N,N
SYNTH-0020,01/01/2025,CUENTA,CLI-119,33876,EUR,Mexico,S,N
SYNTH-0011,18/07/2025,TARJETA,CLI-110,344108,ARS,Mexico,S,N
SYNTH-0048,22/11/2025,CUENTA,CLI-147,43271,moneda local,Paraguay,S,N
SYNTH-0024,28/06/2025,PRESTAMO,CLI-123,417967,EUR,Chile,N,N
SYNTH-0015,10/09/2025,TARJETA,CLI-114,26136,USD,Paraguay,N,S
SYNTH-0009,10/09/2025,PRESTAMO,CLI-108,17880,USD,Peru,S,S
SYNTH-0046,15.03.2025,SERVICIO,CLI-145,13983,USD,col,S,S
SYNTH-0003,10/09/2025,SERVICIO,CLI-102,26435,USD,Chile,N,S
SYNTH-0035,2025-06-10,  CUENTA ,CLI-134,474508,Eur,  Argentina,N,N
SYNTH-0050,10/09/2025,serv,CLI-149,375541,euros,Colombia,S,N
SYNTH-0013,18/07/2025,SERVICIO,CLI-112,252344,EUR,Brasil,S,S
SYNTH-0040,2025-01-15,  CUENTA ,CLI-139,33963,GBP,MEXICO,S,N
SYNTH-0007,15/03/2025,CUENTA,CLI-106,298370,ARS,Paraguay,S,S
SYNTH-0016,22/11/2025,SERVICIO,CLI-115,329574,USD,Mexico,N,S
SYNTH-0033,05-12-2025,seguro,CLI-132,56574, ARS,brasil,N,S
SYNTH-0021,10/09/2025,SERVICIO,CLI-120,503037460,EUR,Mexico,S,S
SYNTH-0028,2025-06-10,seguro,CLI-127,4112,Eur,MEXICO,S,N
SYNTH-0049,15.03.2025,PRESTAMO,CLI-148,387968,EUR,Uruguay,S,N
SYNTH-0032,20-06-2025,  CUENTA ,CLI-131,474374,usd , CHILE ,S,S
SYNTH-0019,22/11/2025,PRESTAMO,CLI-118,930656644,ARS,Paraguay,N,N
SYNTH-0047,"Mar 15, 2025",PRESTAMO,CLI-146,17053,ARS,arg,S,S
SYNTH-0008,22/11/2025,SEGURO,CLI-107,1371,EUR,Paraguay,S,S
SYNTH-0025,10/09/2025,SERVICIO,CLI-124,907109573,USD,Chile,N,N
SYNTH-0005,05/04/2025,SEGURO,CLI-104,6296,EUR,Peru,S,N
SYNTH-0017,22/11/2025,PRESTAMO,CLI-116,649336907,EUR,Peru,S,N
SYNTH-0039,2025-01-15,tarjeta,CLI-138,144240, ARS, CHILE ,S,N
SYNTH-0002,18/07/2025,SEGURO,CLI-101,45846,EUR,Peru,S,N
SYNTH-0034,2025-06-10,PRESTAMO  ,CLI-133,337006775,GBP,MEXICO,N,S
SYNTH-0029,05-12-2025,  CUENTA ,CLI-128,1000000000,usd ,  Argentina,N,S
SYNTH-0043,10/09/2025,PRESTAMO,CLI-142,26914,dolares,Mexico,N,N
